domain	supergroup	division	subdivision	class	order	family	genus	species	main_functional_class	detailed_functional_class	secondary_functional_class	detailed_secondary_functional_class	associated_organism	associated_material	environment	potential_human_pathogen	comment	reference
Eukaryota	Amoebozoa	Amoebozoa_X	Amoebozoa_XX	Amoebozoa_XXX	UI13E03-lineage	UI13E03-lineage_X	UI13E03-lineage_XX	UI13E03-lineage_XX_sp.	predator									
Eukaryota	Amoebozoa	Amoebozoa_X	Amoebozoa_XX	Lobosa-G1	Lobosa-G1_X	Lobosa-G1_XX	Lobosa-G1_XXX	Lobosa-G1_XXX_sp.	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_astronyxis	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_castellanii	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_comandoni	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_culbertsoni	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_divionensis	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_griffini	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_hatchetti	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_healyi	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_jacobsi	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_lenticulata	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_lugdunensis	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_mauritaniensis	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_micheli	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_palestinensis	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_pearcei	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_polyphaga	predator							opportunistic		
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_pustulosa	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_pyriformis	predator									
Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Acanthopodida	Acanthamoebidae	Acanthamoeba	Acanthamoeba_rhysodes	predator							opportunistic		
