Key	Item Type	Publication Year	Author	Title	DOI	Publication Title	ISBN	ISSN		Url	Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Series	Publisher	Place	Language	Rights	Library Catalog	Extra	File Attachments	Manual Tags	Automatic Tags	Series Editor
7RI36ZY5	journalArticle	1975	Curds, C. R.	A guide to the species of the genus Euplotes (Hypotrichida, Ciliatea)		Bulletin of the British Museum (Natural History) Zoology				https://biostor.org/reference/11910	1975	1-61			28							biostor.org					
M6RM26CR	journalArticle	2017	Vďačný, Peter; Foissner, Wilhelm	A huge diversity of metopids (Ciliophora, Armophorea) in soil from the Murray River floodplain, Australia. I. Description of five new species and redescription of Metopus setosus Kahl, 1927	10.1016/j.ejop.2016.12.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2016.12.001	2017-04	35-76			58								Publisher: Elsevier BV		Taxonomy; Morphology; Metopidae; Morphometry; Oral area patterns; Soil ciliates		
XHRUUDW6	journalArticle	2012	Lipscomb, Diana L; Bowditch, Brunella M; Riordan, Gavin P	A molecular and ultrastructural description of Spathidiopsis buddenbrocki and the phylogenetic position of the family Placidae (Ciliophora)	10.1111/j.1550-7408.2011.00595.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.2011.00595.x	2012-01	67-79		1	59								Publisher: Wiley				
GYNRP238	journalArticle	2013	Shao, Chen; Pan, Xuming; Jiang, Jiamei; Ma, Honggang; Al-Rasheid, Khaled A S; Warren, Alan; Lin, Xiaofeng	A redescription of the oxytrichid Tetmemena pustulata (Müller, 1786) Eigner, 1999 and notes on morphogenesis in the marine urostylid Metaurostylopsis salina Lei et al., 2005 (Ciliophora, Hypotrichia)	10.1016/j.ejop.2012.07.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2012.07.003	2013-05	272-282		2	49								Publisher: Elsevier BV				
GKL3HV4I	journalArticle	2010	Bourland, William A; Strüder-Kypke, Michaela C	Agolohymena aspidocauda nov. gen., nov. spec., a histophagous freshwater tetrahymenid ciliate in the family Deltopylidae (Ciliophora, Hymenostomatia), from Idaho (northwest USA): morphology, ontogenesis and molecular phylogeny	10.1016/j.ejop.2010.04.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2010.04.003	2010-08	221-242		3	46								Publisher: Elsevier BV				
K3QBC8GH	journalArticle	2011	Küppers, Gabriela Cristina; Paiva, Thiago da Silva; Borges, Bárbara do Nascimento; Harada, Maria Lúcia; Garraza, Gabriela González; Mataloni, Gabriela	An Antarctic hypotrichous ciliate, Parasterkiella thompsoni (Foissner) nov. gen., nov. comb., recorded in Argentinean peat-bogs: morphology, morphogenesis, and molecular phylogeny	10.1016/j.ejop.2011.01.002	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2011.01.002	2011-05	103-123		2	47								Publisher: Elsevier BV				
YIVUWPTU	journalArticle	2020	Dong, Jingyi; Chen, Xumiao; Liu, Yongqiang; Ni, Bing; Fan, Xinpeng; Li, Lifang; Warren, Alan	An integrative investigation of Parabistichella variabilis (protista, Ciliophora, Hypotrichia) including its general morphology, ultrastructure, ontogenesis, and molecular phylogeny	10.1111/jeu.12809	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12809	2020-09	566-582		5	67								Publisher: Wiley		taxonomic assignment; Buccal seal; contractile vacuole pore; extrusomes; pharyngeal disks		
3RHW2UMB	journalArticle	2021	Foo, Sze Hui; Taylor, Kristian H; Messing, Charles G; Rouse, Gregory W; Tay, Teresa Stephanie; Tan, Koh Siang; Huang, Danwei	Assessing the taxonomy of Heterometra-like feather stars (Echinodermata: Crinoidea: Himerometroidea) based on morphology and molecular data	10.1080/14772000.2021.1902418	System. Biodivers.		1477-2000		http://dx.doi.org/10.1080/14772000.2021.1902418	2021-10-03	632-647		7	19								Publisher: Informa UK Limited				
L8JA7KQD	journalArticle	2021	Abraham, Jeeva Susan; Somasundaram, Sripoorna; Maurya, Swati; Gupta, Renu; Makhija, Seema; Toteja, Ravi	Characterization of <i>Euplotes lynni</i> nov. spec., <i>E. indica</i> nov. spec. and description of <i>E. aediculatus</i> and <i>E. woodruffi</i> (Ciliophora, Euplotidae) using an integrative approach	10.1016/j.ejop.2021.125779	European Journal of Protistology		0932-4739		https://www.sciencedirect.com/science/article/pii/S0932473921000146	2021-06-01	125779			79							ScienceDirect		/home/lentendug/Zotero/storage/N9A5CL3X/S0932473921000146.html		COI gene; India; ITS region; Morphology; Phylogeny; SSU rRNA gene	
58EDQJ58	book	1993	Foissner, Wilhelm	Colpodea (Ciliophora)			978-1-56081-351-4				1993		824		4/1:i-x, 1-798.		Protozoenfauna	Fischer Verlag		en		Google Books	Google-Books-ID: hZjwAAAAMAAJ			Ciliata; Science / Life Sciences / Biology / Microbiology; Colpodea; Colpoda; Science / Life Sciences / Bacteriology	
NU7KCI4K	journalArticle	1966	Diller, W. F.	Correlation of ciliary and nuclear development in the life cycle of Euplotes	10.1111/j.1550-7408.1966.tb01868.x	The Journal of Protozoology		0022-3921			1966-02	43-54		1	13					eng		PubMed	PMID: 4957998			Cell Division; Cell Nucleus; Cilia; Ciliophora; Cytoplasm	
AGHU64IJ	journalArticle	2019	Nitla, Venkatamahesh; Serra, Valentina; Fokin, Sergei I; Modeo, Letizia; Verni, Franco; Sandeep, Bhagavatula Venkata; Kalavati, Chaganti; Petroni, Giulio	Critical revision of the family Plagiopylidae (Ciliophora: Plagiopylea), including the description of two novel species, Plagiopyla ramani and Plagiopyla narasimhamurtii, and redescription of Plagiopyla nasuta Stein, 1860 from India	10.1093/zoolinnean/zly041	Zool. J. Linn. Soc.		0024-4082		http://dx.doi.org/10.1093/zoolinnean/zly041	2019-04-22	1-45		1	186								Publisher: Oxford University Press (OUP)				
ZWZBA48N	journalArticle	2018	Rataj, Matej; Vďačný, Peter	Dawn of astome ciliates in light of morphology and time-calibrated phylogeny of Haptophrya planariarum, an obligate endosymbiont of freshwater turbellarians	10.1016/j.ejop.2018.03.004	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2018.03.004	2018-06	54-71			64								Publisher: Elsevier BV				
ADCBQMCJ	journalArticle	2013	Foissner, Wilhelm	Description of Glaucomides bromelicola n. gen., n. sp. (Ciliophora, Tetrahymenida), a macrostome forming inhabitant of bromeliads (Bromeliaceae), including redescriptions of Glaucoma scintillans and G. reniformis	10.1111/jeu.12016	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12016	2013-03	137-157		2	60								Publisher: Wiley				
9FEI4DT4	journalArticle	2012	Omar, Atef; Foissner, Wilhelm	Description of Leptopharynx brasiliensis nov. spec. and Leptopharynx costatus gonohymen nov. subspec. (Ciliophora, Microthoracida)	10.1016/j.ejop.2011.07.002	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2011.07.002	2012-01	30-47		1	48								Publisher: Elsevier BV				
D9EQZ8G4	journalArticle	2016	Fotedar, Rashmi; Stoeck, Thorsten; Filker, Sabine; Fell, Jack W; Agatha, Sabine; Al Marri, Masoud; Jiang, Jiamei	Description of the Halophile Euplotes qatarensis nov. spec. (Ciliophora, Spirotrichea, Euplotida) Isolated from the Hypersaline Khor Al-Adaid Lagoon in Qatar	10.1111/jeu.12305	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12305	2016-09	578-590		5	63								Publisher: Wiley				
5NMFF2P4	journalArticle	2020	Bourland, William; Rotterová, Johana; Čepička, Ivan	Description of Three New Genera of Metopidae (Metopida, Ciliophora): Pileometopus gen. nov., Castula gen. nov., and Longitaenia gen. nov., with Notes on the Phylogeny and Cryptic Diversity of Metopid Ciliates	10.1016/j.protis.2020.125740	Protist		1434-4610		http://dx.doi.org/10.1016/j.protis.2020.125740	2020-07	125740		3	171								Publisher: Elsevier BV		phylogeny; biogeography; 18S rRNA gene.; anaerobic ciliates; Armophorea; protargol impregnation		
DJKSD2GJ	journalArticle	2017	Li, Song; Bourland, William A; Al-Farraj, Saleh A; Li, Lifang; Hu, Xiaozhong	Description of two species of caenomorphid ciliates (Ciliophora, Armophorea): Morphology and molecular phylogeny	10.1016/j.ejop.2017.08.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2017.08.001	2017-10	29-40			61								Publisher: Elsevier BV				
QYJYAW2F	journalArticle	2017	Kumar, Santosh; Bharti, Daizy; Shazib, Shahed Uddin Ahmed; Shin, Mann Kyoon	Discovery of a new hypotrich ciliate from petroleum contaminated soil	10.1371/journal.pone.0178657	PLoS One		1932-6203		http://dx.doi.org/10.1371/journal.pone.0178657	2017-06-01	e0178657		6	12								Publisher: Public Library of Science (PLoS)				
9C7LY2TH	journalArticle	2021	Cedrola, Franciane; Senra, Marcus Vinicius Xavier; Faulhaber, Francisco Romero; D'Agosto, Marta; Dias, Roberto Júnio Pedroso	Disentangling the family Blepharocorythidae (Ciliophora, Entodiniomorphida): a molecular assessment of morphological classification		System. Biodivers.					2021-07	426–437		5	19					en			Publisher: Informa UK Limited				
