kingdom	supergroup	division	class	order	family	genus	species	assignment confidence	assignment level	main functional class	detailed functional class	secondary functional class	detailed secondary functional class	associated organism	associated material	environment	potential human pathogen	comment	reference
Eukaryota	Alveolata	Alveolata_X	Alveolata_XX	Alveolata_XXX	Alveolata_XXXX	Filipodium	Filipodium_phascolosomae		division	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Alveolata_X	Alveolata_XX	Alveolata_XXX	Alveolata_XXXX	Playproteum	Playproteum_vivax		division	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Adeleida	Adeleidae	Adelina	Adelina_bambarooniae		order	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Adeleida	Adeleidae	Adelina	Adelina_dimidiata		order	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Adeleida	Adeleidae	Adelina	Adelina_grylli		order	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Calyptosporidae	Choleoeimeria	Choleoeimeria_sp.		family	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Caryospora	Caryospora_bigenetica		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Caryospora	Caryospora_sp.		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Cyclospora	Cyclospora_cayetanensis		species	symbiotroph	animal parasite			animal			opportunistic		
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Cyclospora	Cyclospora_cercopitheci		species	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Cyclospora	Cyclospora_colobi		species	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Cyclospora	Cyclospora_papionis		species	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Cyclospora	Cyclospora_sp.		species	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_anseris		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_arizonensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_dispersa		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_gallopavonis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_hermani		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_innocua		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_maxima		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_meleagridis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_quokka		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_setonicis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria	Eimeria_sp.		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_acervulina		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_brunetti		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_meleagrimitis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_mitis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_mivati		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_necatrix		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_pavonina		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_praecox		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_sp.		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria1_tenella		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria1	Eimeria2_adenoeides		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria10	Eimeria10_auritusi		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria10	Eimeria10_gruis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria10	Eimeria10_phalacrocoraxae		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria10	Eimeria10_reichenowi		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria10	Eimeria10_sp.		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria2	Eimeria2_sp.		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_ahsata		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_arloingi		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_auburnensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_bovis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_canadensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_crandallis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_cylindrica		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_ellipsoidalis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_faurei		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_ovinoidalis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_weybridgensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria3	Eimeria3_zuernii		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria4	Eimeria4_alabamensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria4	Eimeria4_banffensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria4	Eimeria4_bukidnonensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria4	Eimeria4_cahirinensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria4	Eimeria4_sp.		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria4	Eimeria4_subspherica		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_coecicola		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_exigua		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_flavescens		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_intestinalis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_irresidua		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_magna		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_media		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_perforans		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_piriformis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_sp.		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_stiedai		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria5	Eimeria5_vejdovskyi		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_alabamensis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_burdai		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_caviae		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_falciformis		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_langebarteli		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_myoxi		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_nafuko		genus	symbiotroph	animal parasite			animal					
Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Eimeriidae	Eimeria6	Eimeria6_nieschulzi		genus	symbiotroph	animal parasite			animal					
