genus	PR2_family	corrected_family
Echinuria	Chromadorea_X	Acuariidae
Synhimantus	Chromadorea_X	Acuariidae
Agfa	Chromadorea_X	Agfidae
Alaninema	Chromadorea_X	Alaninematidae
Bradynema	Chromadorea_X	Allantonematidae
Alloionema	Chromadorea_X	Alloionematidae
Rhabditophanes	Chromadorea_X	Alloionematidae
Parasitylenchus	Chromadorea_X	Allontonematidae
Amidostomum	Chromadorea_X	Amidostomatidae
Ancylostoma	Chromadorea_X	Ancylostomatidae
Necator	Chromadorea_X	Ancylostomatidae
Angiostoma	Chromadorea_X	Angiostomatidae
Gurltia	Chromadorea_X	Angiostrongylidae
Anguina	Chromadorea_X	Anguinidae
Anguinata	Chromadorea_X	Anguinidae
Ditylenchus	Chromadorea_X	Anguinidae
Ficotylus	Chromadorea_X	Anguinidae
Halenchus	Chromadorea_X	Anguinidae
Litylenchus	Chromadorea_X	Anguinidae
Loa	Chromadorea_X	Anguinidae
Nothotylenchus	Chromadorea_X	Anguinidae
Nudora	Chromadorea_X	Anguinidae
Pseudhalenchus	Chromadorea_X	Anguinidae
Subanguina	Chromadorea_X	Anguinidae
Anguillicola	Chromadorea_X	Angullicolidae
Anguillicoloides	Chromadorea_X	Angullicolidae
Goezia	Chromadorea_X	Anisakidae
Gongylonema	Chromadorea_X	Anisakidae
Hysterothylacium	Chromadorea_X	Anisakidae
Iheringascaris	Chromadorea_X	Anisakidae
Raphidascaris	Chromadorea_X	Anisakidae
Sulcascaris	Chromadorea_X	Anisakidae
Terranova	Chromadorea_X	Anisakidae
Pseudoterranova	Chromadorea_X	Ansakidae
Aphanolaimus	Chromadorea_X	Aphanolaimidae
Aphanonchus	Chromadorea_X	Aphanolaimidae
Aphelenchus	Chromadorea_X	Aphelenchidae
Anomyctus	Chromadorea_X	Aphelenchoididae
Aphelenchoides	Chromadorea_X	Aphelenchoididae
Aprutides	Chromadorea_X	Aphelenchoididae
Bursaphelenchus	Chromadorea_X	Aphelenchoididae
Devibursaphelenchus	Chromadorea_X	Aphelenchoididae
Laimaphelenchus	Chromadorea_X	Aphelenchoididae
Noctuidonema	Chromadorea_X	Aphelenchoididae
Pseudaphelenchus	Chromadorea_X	Aphelenchoididae
Robustodorus	Chromadorea_X	Aphelenchoididae
Ruehmaphelenchus	Chromadorea_X	Aphelenchoididae
Rumai	Chromadorea_X	Aphelenchoididae
Schistonchus	Chromadorea_X	Aphelenchoididae
Sheraphelenchus	Chromadorea_X	Aphelenchoididae
Ascaris	Chromadorea_X	Ascarididae
Baylisascaris	Chromadorea_X	Ascarididae
Dujardinascaris	Chromadorea_X	Ascarididae
Ortleppascaris	Chromadorea_X	Ascarididae
Toxascaris	Chromadorea_X	Ascarididae
Ascaridia	Chromadorea_X	Ascaridiidae
Aspidodera	Chromadorea_X	Aspidoderidae
Paraspidodera	Chromadorea_X	Aspidoderidae
Parastrongyloides	Chromadorea_X	Aspidoderidae
Rondonia	Chromadorea_X	Atractidae
Rostellascaris	Chromadorea_X	Atractidae
Eutylenchus	Chromadorea_X	Atylenchidae
Aulolaimus	Chromadorea_X	Auloaimidae
Ascolaimus	Chromadorea_X	Axonolaimidae
Axonolaimus	Chromadorea_X	Axonolaimidae
Odontophora	Chromadorea_X	Axonolaimidae
